step,vehicle_density,pre_vehicle_density,vehicle_avg_speed,v2u_rate,v2i_rate
580,1.0,1.0,6.455717116018198,0.1417233160611436,0.0
590,1.2,1.0,6.069726562031552,0.13932122595841234,0.0
600,1.2,1.2,6.66410681873391,0.22431544252691463,0.0
610,1.4,1.2,6.066007682619385,0.2206381401904078,0.0
620,1.4,1.4,6.810590845755781,0.21707946050991733,0.0
630,1.2,1.4,7.612840740545901,0.21363375478753768,0.0
640,1.2,1.2,7.975196646009828,0.2102957273689824,0.0
650,1.2,1.2,7.910057769776329,0.20706040848638288,0.0
660,1.2,1.2,8.891118559766694,0.20392312956992273,0.0
670,1.4,1.2,11.648638718236677,0.20087950077037184,0.0
680,1.4,1.4,10.26855377418261,0.19792539046492538,0.0
690,1.4,1.4,9.037454452184173,0.19505690654514404,0.0
700,1.4,1.4,8.430731930055119,0.19227037930878502,0.0
710,1.4,1.4,7.745662902369211,0.18956234579739384,0.0
720,1.2,1.4,6.693092051233791,0.18692953543909685,0.0
730,1.0,1.2,4.6556284159052295,0.18436885687143814,0.0
740,1.0,1.0,5.448466345350491,0.18187738583263507,0.0
750,1.0,1.0,4.341671608970559,0.1794523540215334,0.0
760,1.0,1.0,3.6644123219643925,0.17709113883703967,0.0
770,1.0,1.0,4.901465426293977,0.17479125391707825,0.0
780,1.2,1.0,10.004232922943737,0.17255034040532097,0.0
790,1.2,1.2,11.472221746543232,0.1703661588812031,0.0
800,1.0,1.2,12.608057666079386,0.16823658189518817,0.0
810,1.0,1.0,13.743337705623754,0.1661595870569761,0.0
820,1.0,1.0,14.72147037502578,0.16413325062945208,0.0
830,1.0,1.0,15.437955780606734,0.16215574158572385,0.0
840,1.0,1.0,14.970860949412579,0.1602253160906558,0.0
850,1.0,1.0,12.824313462288202,0.1583403123719423,0.0
860,0.8,1.0,5.273099873849313,0.15649914594901282,0.0
870,1.0,0.8,4.743210893788617,0.1547003051909783,0.0
880,1.2,1.0,6.064587551668395,0.15294234717744454,0.0
890,1.4,1.2,8.161494048705427,0.17517522355938953,0.05105227943663139
900,1.4,1.4,6.701811348761341,0.1732288321865075,0.05048503188733551
910,1.6,1.4,6.257915980826471,0.17132521864599654,0.049930251317145034
920,1.8,1.6,5.952933647002195,0.16946298800854012,0.04938753119413261
930,1.8,1.8,4.578285961494271,0.2136997119750387,0.07067119449283472
940,2.0,1.8,4.9238988135889326,0.211426310783815,0.06991937327482588
950,2.2,2.0,6.030504565085522,0.20920077067030124,0.069183379871933
960,2.4,2.2,6.408532756253691,0.20702159597581904,0.06846271966493374
970,2.6,2.4,7.552470420793626,0.26167375807480275,0.08837634899709132
980,2.4,2.6,6.607639131976111,0.2590036176862845,0.0874745495175292
990,2.6,2.4,7.510309745810321,0.2563874195278373,0.08659096820927137
1000,2.8,2.6,8.122443715359115,0.253823545332559,0.0857250585271787
1010,2.8,2.8,8.034503230611737,0.27315554167573886,0.10466445559141417
1020,3.2,2.8,8.016563028665367,0.27047754616911407,0.1036383334777729
1030,3.2,3.2,7.98109477784106,0.2678515505752393,0.10263213606536738
1040,3.2,3.2,7.939644242686577,0.2652760548966313,0.10164528860320042
