step,v2u_rate,v2i_rate,u2i_rate,task_waiting,task_offload,task_computing,task_done,task_failed,avg_running_compute_delay
2410,0.16,0.39,0.51,1,0,25,846,643,1.3553
2420,0.16,0.39,0.51,1,0,5,857,654,1.0
2430,0.16,0.38,0.51,1,0,4,858,658,1.2333
2440,0.16,0.38,0.51,1,0,6,859,659,0.87
2450,0.16,0.38,0.5,2,0,24,862,660,1.3
2460,0.16,0.38,0.5,0,0,3,874,674,1.0333
2470,0.16,0.38,0.5,0,0,2,874,676,0.65
2480,0.16,0.38,0.5,0,0,3,876,676,0.9333
2490,0.15,0.37,0.5,1,0,27,876,676,1.245
2500,0.15,0.37,0.49,0,0,5,888,688,1.1467
2510,0.15,0.37,0.49,0,0,7,888,690,1.2867
2520,0.15,0.37,0.49,1,0,7,890,691,1.0889
2530,0.15,0.37,0.49,3,0,26,892,693,1.2456
2540,0.15,0.37,0.49,0,0,4,905,707,1.4278
2550,0.15,0.37,0.48,0,0,2,905,711,0.975
2560,0.15,0.36,0.48,0,0,3,906,712,1.0667
2570,0.15,0.36,0.48,1,0,24,907,712,1.2889
2580,0.15,0.36,0.48,1,0,6,915,727,1.0556
2590,0.15,0.36,0.48,2,0,5,915,730,0.39
2600,0.15,0.36,0.48,0,0,5,918,733,1.6
2610,0.15,0.36,0.47,0,0,4,919,736,0.8
2620,0.15,0.36,0.47,0,0,4,922,737,1.075
2630,0.15,0.38,0.47,0,0,0,927,737,0.0
2640,0.15,0.38,0.47,0,0,3,927,737,0.7667
2650,0.15,0.38,0.47,1,0,3,930,737,1.1333
2660,0.15,0.38,0.46,1,0,4,931,737,0.575
2670,0.14,0.38,0.46,0,0,3,933,738,0.7833
2680,0.14,0.38,0.46,0,0,3,934,739,1.25
2690,0.14,0.38,0.46,1,0,1,935,740,0.7
2700,0.14,0.37,0.46,1,0,3,935,742,1.0333
2710,0.14,0.37,0.46,0,0,5,936,743,1.0
2720,0.14,0.37,0.45,0,0,3,938,744,0.6833
2730,0.14,0.37,0.45,1,0,1,940,745,1.0
2740,0.14,0.37,0.45,0,0,2,941,745,0.65
2750,0.14,0.37,0.45,0,0,1,943,746,0.7
2760,0.14,0.37,0.45,0,0,2,944,746,1.0
2770,0.14,0.36,0.45,0,0,3,945,746,1.4
2780,0.14,0.36,0.44,1,0,3,946,747,0.9333
2790,0.14,0.36,0.44,1,0,3,947,749,0.5
2800,0.14,0.36,0.44,1,0,1,950,749,0.5
2810,0.14,0.36,0.44,0,0,3,951,750,0.7
2820,0.14,0.36,0.44,2,0,0,954,750,0.0
2830,0.14,0.36,0.44,0,0,7,954,751,1.42
2840,0.16,0.36,0.44,0,0,4,956,753,0.7375
2850,0.16,0.35,0.43,0,0,6,958,753,0.65
2860,0.16,0.35,0.43,1,0,6,962,753,0.6833
2870,0.16,0.35,0.43,0,0,5,966,753,0.65
2880,0.16,0.35,0.43,1,0,4,969,755,0.8375
2890,0.18,0.35,0.43,0,0,5,970,756,0.64
2900,0.18,0.35,0.43,1,0,4,973,756,0.8667
2910,0.21,0.35,0.42,0,0,7,975,757,0.7357
2920,0.21,0.35,0.42,0,0,3,979,758,0.6167
2930,0.21,0.34,0.42,0,0,3,981,758,1.6
2940,0.21,0.34,0.42,0,0,3,981,759,0.5833
2950,0.2,0.34,0.42,0,0,0,983,760,0.0
2960,0.2,0.34,0.42,0,0,3,983,760,1.2
2970,0.2,0.34,0.42,0,0,4,984,760,1.2333
2980,0.2,0.34,0.41,0,0,4,985,761,0.7625
2990,0.2,0.34,0.41,0,0,7,987,762,1.25
3000,0.2,0.34,0.41,0,0,5,989,762,0.55
