Update Call #10:
Node ID: UAV_0, Type: uav, Position (x, y, z): (862.6511032105265, 1999.6659008263616, 153.25642333331572), Speed: 15.75848209726875, Angle: -0.34721422236887234, Acceleration: 120.12418777000778
Node ID: UAV_1, Type: uav, Position (x, y, z): (687.3394026557839, 1999.7894710824862, 166.69839420971942), Speed: 12.10920534044786, Angle: 3.0715944973562372, Acceleration: -19.070034604957815
Node ID: UAV_2, Type: uav, Position (x, y, z): (2356.3629758611587, 1932.6825322106006, 194.20283432655717), Speed: 19.217897909335157, Angle: 3.0920679893973215, Acceleration: 13.18662503743301
Node ID: UAV_3, Type: uav, Position (x, y, z): (2092.527214395308, 2111.2583458839736, 109.02781702450677), Speed: 16.60391545059236, Angle: -1.9613183999241879, Acceleration: -52.747788574151
Node ID: UAV_4, Type: uav, Position (x, y, z): (275.04069744807765, 2381.048831749026, 150.42797556181384), Speed: 13.36510797302358, Angle: 3.16237837323818, Acceleration: 139.77087549966186
Node ID: UAV_5, Type: uav, Position (x, y, z): (2323.343827610228, 68.4418583553582, 189.24510354035345), Speed: 18.434197850228095, Angle: -3.1090515608083233, Acceleration: 52.91732594565197
Node ID: UAV_6, Type: uav, Position (x, y, z): (451.4032394313089, 222.4112293554897, 150.69836671958964), Speed: 27.94401953927751, Angle: 1.0746252559853406, Acceleration: -31.049424056489272
Node ID: UAV_7, Type: uav, Position (x, y, z): (348.89504242548924, 1887.6361938379114, 100.601605025754), Speed: 18.705405465963377, Angle: 2.5978452577944866, Acceleration: 46.747461329543825
Node ID: UAV_8, Type: uav, Position (x, y, z): (2118.4495472210897, 1223.5035808961732, 172.64873603991919), Speed: 18.945837904994498, Angle: 3.130190822655761, Acceleration: -88.17368831031584
Node ID: UAV_9, Type: uav, Position (x, y, z): (1127.1956051451355, 2140.964321641713, 180.97611559868855), Speed: 24.17655514888476, Angle: 6.0642909765578, Acceleration: -133.52997903726788
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #60:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1756.7820729300288, 909.5831670237015, 0), Speed: 9.966634361041242, Angle: 159.34519397013054, Acceleration: 1.758261334197595
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2323.383759524613, 788.2626257927521, 0), Speed: 7.952038580008023, Angle: 164.15442910106626, Acceleration: 2.150334508623928
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1379.225284732952, 1456.6806045445148, 0), Speed: 0.7337458899649354, Angle: 46.68115451384105, Acceleration: -4.499999999999999
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (544.5722359480017, 1976.9513021338792, 0), Speed: 1.4868470537135599, Angle: 9.984193472934276, Acceleration: 0.4765443740492814
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1340.3443673579807, 811.8298386130795, 0), Speed: 2.836298279062995, Angle: 89.76269716194653, Acceleration: 1.5719974486622945
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (717.1601822368996, 1918.2763670079723, 0), Speed: 0.7379513382258285, Angle: 158.1912022764875, Acceleration: 2.397763905538667
Node ID: UAV_0, Type: uav, Position (x, y, z): (883.1398369379316, 1992.2515459861913, 152.71301661194744), Speed: 24.330985203904497, Angle: -0.3472142223688724, Acceleration: 56.12008863111864
Node ID: UAV_1, Type: uav, Position (x, y, z): (667.9154366513786, 2001.1513378816937, 163.95892590018153), Speed: 20.93275005528457, Angle: 3.071594497356237, Acceleration: -108.03965168995695
Node ID: UAV_2, Type: uav, Position (x, y, z): (2337.0244798040644, 1933.6410485105182, 192.90955278373545), Speed: 15.643341872328218, Angle: 3.0920679893973215, Acceleration: 50.6714035477118
Node ID: UAV_3, Type: uav, Position (x, y, z): (2085.517538227069, 2094.2307372342225, 108.94771014944997), Speed: 24.7973915683925, Angle: -1.9613183999241879, Acceleration: -62.319990951871986
Node ID: UAV_4, Type: uav, Position (x, y, z): (293.28229509033577, 2380.57219228722, 150.00666387108365), Speed: 28.031374847909227, Angle: -0.026123316730857934, Acceleration: -170.35967725268335
Node ID: UAV_5, Type: uav, Position (x, y, z): (2306.5423827669088, 67.89492791386235, 186.2363649241515), Speed: 11.295743661843732, Angle: -3.1090515608083233, Acceleration: 63.98148257589886
Node ID: UAV_6, Type: uav, Position (x, y, z): (459.9530180590029, 238.2049263424874, 149.5882484400814), Speed: 16.15036899963703, Angle: 1.0746252559853404, Acceleration: -7.006726498009943
Node ID: UAV_7, Type: uav, Position (x, y, z): (360.4808556729621, 1880.4170807906592, 100.5987844140429), Speed: 16.546187435627456, Angle: -0.6680234639888312, Acceleration: 128.76801267814665
Node ID: UAV_8, Type: uav, Position (x, y, z): (2107.868798201132, 1213.6924300792477, 172.23722457075664), Speed: 17.46393838949676, Angle: -2.543585794023605, Acceleration: 38.294006482352216
Node ID: UAV_9, Type: uav, Position (x, y, z): (1126.04820699539, 2141.527844471339, 180.97611559868855), Speed: 19.60539345247016, Angle: 1.9767064128904084, Acceleration: -50.141395050211166
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #70:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1760.6501680808385, 899.241667537637, 0), Speed: 11.916391231737094, Angle: 159.67022686699272, Acceleration: 1.9210354225942794
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2325.852401406899, 779.5650405463232, 0), Speed: 9.863928002674301, Angle: 164.15442910107126, Acceleration: 1.8749332826351761
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1379.248621203677, 1456.7026102185387, 0), Speed: 0.0, Angle: 46.68115451383937, Acceleration: 0.0
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (544.8282378849552, 1978.4055070953018, 0), Speed: 1.491421110538577, Angle: 9.984193472934276, Acceleration: 0.45085706705185746
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1344.2501368169505, 811.8460152928451, 0), Speed: 4.759287476848494, Angle: 89.76269716194653, Acceleration: 1.7938975702738347
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (717.8995561707085, 1916.4286231771268, 0), Speed: 2.9051906697933174, Angle: 158.1912022764853, Acceleration: 1.3966613416094376
Node ID: UAV_0, Type: uav, Position (x, y, z): (881.7408769894446, 1975.874497169636, 152.03005216293937), Speed: 24.856234608245103, Angle: -1.9738664341588534, Acceleration: -16.167037596921325
Node ID: UAV_1, Type: uav, Position (x, y, z): (649.2134814799945, 2002.4625825483292, 161.32128673283609), Speed: 26.76687384898353, Angle: 3.0715944973562372, Acceleration: 0.34165538665000383
Node ID: UAV_2, Type: uav, Position (x, y, z): (2320.519998383821, 1934.4590963264545, 191.8057988448755), Speed: 21.22817563538473, Angle: 3.0920679893973215, Acceleration: 27.638561993618502
Node ID: UAV_3, Type: uav, Position (x, y, z): (2077.0090984064514, 2073.56239535819, 108.85047534012641), Speed: 24.355856042875146, Angle: -1.9613183999241877, Acceleration: -127.62907705968264
Node ID: UAV_4, Type: uav, Position (x, y, z): (304.5499707974539, 2372.4098207833135, 149.41325461309336), Speed: 18.54354544395945, Angle: -1.494035387399883, Acceleration: -37.95935971664322
Node ID: UAV_5, Type: uav, Position (x, y, z): (2284.251415932294, 67.1692993476338, 182.2445836616935), Speed: 27.293296843451024, Angle: -3.1090515608083233, Acceleration: -7.281838025480347
Node ID: UAV_6, Type: uav, Position (x, y, z): (469.0760093324875, 255.05749832858803, 148.4037032234738), Speed: 12.073169294075692, Angle: 1.0746252559853406, Acceleration: 14.523071983879934
Node ID: UAV_7, Type: uav, Position (x, y, z): (376.9937150169222, 1872.959682204475, 100.59368246014054), Speed: 22.57063455246565, Angle: 0.3470801653594263, Acceleration: 63.485279030298436
Node ID: UAV_8, Type: uav, Position (x, y, z): (2091.041369201122, 1202.2293368579128, 171.50835315724783), Speed: 24.202150426815592, Angle: -2.543585794023605, Acceleration: 49.291382217997324
Node ID: UAV_9, Type: uav, Position (x, y, z): (1122.4340199895732, 2138.6089287370437, 180.97611559868855), Speed: 22.298742175395773, Angle: 3.5330207168810457, Acceleration: 56.27796436380461
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #80:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1765.1171221726818, 886.9929241890486, 0), Speed: 13.93577822640584, Angle: 159.96375863668771, Acceleration: 1.5802745175547805
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2328.7882133781304, 769.2215091210089, 0), Speed: 11.476316552829166, Angle: 164.15442910107126, Acceleration: 1.7001032538479244
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (1379.248621203677, 1456.7026102185387, 0), Speed: 0.0, Angle: 46.68115451383937, Acceleration: 0.0
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (545.0839279702545, 1979.8579406005076, 0), Speed: 1.488418296720209, Angle: 9.984193472934276, Acceleration: 0.18021474803805893
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (1350.0383539726224, 811.8699885806506, 0), Speed: 6.614634015994758, Angle: 89.76269716194523, Acceleration: 2.492287242761808
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (719.4096392376263, 1912.654826802418, 0), Speed: 4.9598090582356384, Angle: 158.19120227648628, Acceleration: 1.9944884175434652
