step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
940,0.6168,10.31,19.82,0.21,0.07,0.08,0.805,0.6194,0.21,0.07,0.08
950,0.6136,10.18,18.83,0.21,0.07,0.08,1.3,0.6168,0.21,0.07,0.08
960,0.6111,10.03,20.94,0.21,0.07,0.08,0.5875,0.6136,0.21,0.07,0.08
970,0.6116,10.05,20.12,0.26,0.09,0.08,0.9228,0.6111,0.21,0.07,0.08
980,0.6175,10.11,19.25,0.26,0.09,0.08,1.8833,0.6116,0.26,0.09,0.08
990,0.6158,10.14,21.36,0.26,0.09,0.08,1.2222,0.6175,0.26,0.09,0.08
1000,0.6092,10.39,20.88,0.25,0.09,0.07,0.9333,0.6158,0.26,0.09,0.08
1010,0.607,10.67,17.21,0.27,0.1,0.07,1.2851,0.6092,0.25,0.09,0.07
1020,0.6035,10.74,21.5,0.27,0.1,0.17,1.0944,0.607,0.27,0.1,0.07
1030,0.5916,10.78,19.32,0.27,0.1,0.16,0.6,0.6035,0.27,0.1,0.17
1040,0.5926,11.11,17.58,0.27,0.1,0.16,0.25,0.5916,0.27,0.1,0.16
1050,0.5936,10.97,19.68,0.26,0.12,0.18,0.94,0.5926,0.27,0.1,0.16
1060,0.5944,11.05,20.32,0.26,0.18,0.18,1.3344,0.5936,0.26,0.12,0.18
1070,0.5935,11.27,20.63,0.26,0.17,0.18,0.425,0.5944,0.26,0.18,0.18
1080,0.594,11.5,17.67,0.26,0.17,0.18,0.8,0.5935,0.26,0.17,0.18
1090,0.595,11.67,23.37,0.25,0.19,0.19,0.871,0.594,0.26,0.17,0.18
1100,0.6065,11.84,20.93,0.25,0.19,0.19,1.1,0.595,0.25,0.19,0.19
1110,0.6048,11.96,19.28,0.25,0.19,0.19,0.82,0.6065,0.25,0.19,0.19
1120,0.6073,11.56,20.37,0.25,0.18,0.19,0.35,0.6048,0.25,0.19,0.19
1130,0.609,11.03,21.92,0.24,0.2,0.21,0.9673,0.6073,0.25,0.18,0.19
1140,0.609,10.77,20.02,0.24,0.2,0.2,1.35,0.609,0.24,0.2,0.21
1150,0.6053,10.72,16.5,0.24,0.2,0.2,0.625,0.609,0.24,0.2,0.2
1160,0.6044,10.63,17.31,0.24,0.2,0.2,0.3,0.6053,0.24,0.2,0.2
1170,0.606,10.54,18.85,0.24,0.19,0.22,1.2617,0.6044,0.24,0.2,0.2
1180,0.5985,10.62,21.01,0.23,0.19,0.23,1.1183,0.606,0.24,0.19,0.22
1190,0.5962,10.61,21.05,0.23,0.19,0.29,0.3757,0.5985,0.23,0.19,0.23
1200,0.6023,10.53,17.05,0.23,0.19,0.29,0.0,0.5962,0.23,0.19,0.29
1210,0.6023,10.79,19.85,0.23,0.19,0.3,1.2179,0.6023,0.23,0.19,0.29
1220,0.5993,11.28,21.49,0.23,0.19,0.3,1.2083,0.6023,0.23,0.19,0.3
1230,0.5939,11.52,21.72,0.22,0.18,0.3,0.5,0.5993,0.23,0.19,0.3
1240,0.5954,11.58,22.57,0.22,0.18,0.3,0.0,0.5939,0.22,0.18,0.3
1250,0.5954,11.68,21.51,0.22,0.18,0.37,1.323,0.5954,0.22,0.18,0.3
1260,0.5928,11.73,18.52,0.22,0.18,0.37,1.01,0.5954,0.22,0.18,0.37
1270,0.5818,11.57,18.7,0.22,0.18,0.36,0.5667,0.5928,0.22,0.18,0.37
1280,0.5839,11.34,23.25,0.22,0.18,0.36,1.3,0.5818,0.22,0.18,0.36
1290,0.5839,10.86,22.8,0.21,0.18,0.36,1.0765,0.5839,0.22,0.18,0.36
1300,0.5896,10.47,19.11,0.21,0.17,0.36,0.97,0.5839,0.21,0.18,0.36
1310,0.5874,10.18,20.25,0.21,0.17,0.35,0.2,0.5896,0.21,0.17,0.36
1320,0.588,10.1,18.63,0.21,0.17,0.35,1.3,0.5874,0.21,0.17,0.35
1330,0.5871,10.16,20.46,0.21,0.17,0.36,1.0452,0.588,0.21,0.17,0.35
1340,0.5903,10.19,19.87,0.21,0.17,0.36,1.08,0.5871,0.21,0.17,0.36
1350,0.5864,10.05,21.0,0.2,0.17,0.36,0.7667,0.5903,0.21,0.17,0.36
1360,0.589,9.63,23.48,0.2,0.17,0.42,0.2333,0.5864,0.2,0.17,0.36
1370,0.5908,9.51,22.32,0.2,0.17,0.43,1.065,0.589,0.2,0.17,0.42
1380,0.5894,9.19,24.02,0.2,0.16,0.43,1.0333,0.5908,0.2,0.17,0.43
1390,0.5859,9.03,19.88,0.2,0.16,0.42,0.4222,0.5894,0.2,0.16,0.43
1400,0.5877,8.98,25.47,0.2,0.16,0.42,0.94,0.5859,0.2,0.16,0.42
1410,0.5875,8.9,21.44,0.2,0.16,0.43,1.1395,0.5877,0.2,0.16,0.42
1420,0.5837,8.99,16.86,0.19,0.16,0.43,1.0357,0.5875,0.2,0.16,0.43
1430,0.581,9.17,22.44,0.19,0.16,0.48,0.295,0.5837,0.19,0.16,0.43
1440,0.5839,9.47,22.06,0.19,0.16,0.55,0.0,0.581,0.19,0.16,0.48
1450,0.5839,9.88,19.02,0.19,0.16,0.56,1.1005,0.5839,0.19,0.16,0.55
1460,0.5766,10.4,19.37,0.19,0.16,0.63,0.8836,0.5839,0.19,0.16,0.56
1470,0.572,10.69,17.88,0.19,0.15,0.67,0.4012,0.5766,0.19,0.16,0.63
1480,0.5737,10.66,21.39,0.19,0.15,0.67,0.7133,0.572,0.19,0.15,0.67
